lower_95,pred,upper_95,date,state
68.84775075617443,142.88409337695856,296.5363997504953,2026-03-22,RS
59.627682557615834,122.62662978259712,252.18639542645653,2026-03-29,RS
52.69941176688561,101.85103023577574,196.84531595867477,2026-04-05,RS
78.88365740974653,135.8255070612955,233.8706010122016,2026-03-22,SC
64.40256315364334,95.83603516070542,142.61149223847903,2026-03-29,SC
52.07132557639221,74.28442745580554,105.97341437642667,2026-04-05,SC
431.44016243673605,526.3689528787498,642.1847075845626,2026-03-22,PR
420.9201071522017,524.097056696039,652.5649883913234,2026-03-29,PR
413.7908983948492,523.4748637340372,662.232866948868,2026-04-05,PR
17001.52314119573,21189.32390786594,26408.660209068858,2026-03-22,BR
17188.377240630296,21409.639378559496,26667.59356645101,2026-03-29,BR
17948.46318424984,22307.949596440816,27726.307823058516,2026-04-05,BR
11.626261197148692,15.436187938804323,20.49462798414718,2026-03-22,SE
13.386839051733064,17.762910328362736,23.56949105865347,2026-03-29,SE
13.504278577128234,18.44672661720069,25.19806748255806,2026-04-05,SE
3513.621286586324,4454.838130318587,5648.184920527243,2026-03-22,SP
3137.0235159045324,3985.660023656714,5063.872088824557,2026-03-29,SP
2964.2932462745866,3836.6937640665124,4965.84440750816,2026-04-05,SP
296.6074926712957,426.4213946550303,613.0499407884253,2026-03-22,TO
281.61760673304036,422.5680541599707,634.0646185727073,2026-03-29,TO
271.6699331481331,418.3595345598537,644.2549535347438,2026-04-05,TO
