lower_95,pred,upper_95,date,state
107.55364166202872,146.77063395410383,200.28721164998632,2025-11-30,AM
11.329525525533596,14.761251133400348,19.23245016150407,2025-11-16,AP
11.374859558831067,15.443978339087124,20.96873949999813,2025-11-23,AP
11.473478672278988,16.68189204386632,24.25467725281737,2025-11-30,AP
2.631788333249376,5.0640960756799975,9.744350919002095,2025-11-16,RR
2.6723102037081605,5.1645035769893735,9.980913577969053,2025-11-23,RR
2.703047691610373,5.342741433028227,10.560259853643407,2025-11-30,RR
25.750547365019216,34.50474352678136,46.235029841202426,2025-11-16,RO
29.92754046884842,38.090641898517354,48.4803287377165,2025-11-23,RO
33.14321116325565,41.82456024401843,52.77985379838173,2025-11-30,RO
42.414136116907216,60.97142705585458,87.64801685411462,2025-11-16,AC
49.8761956274175,65.23148648893644,85.31418196654108,2025-11-23,AC
54.92224037838852,75.6757022800936,104.27127291476661,2025-11-30,AC
153.0125622473487,220.8147480277819,318.6611101103738,2025-11-16,PA
143.6305451973444,198.90952186725937,275.4636754675025,2025-11-23,PA
144.25075995549574,196.61146331389617,267.97825895931305,2025-11-30,PA
135.09690157328745,186.42200713403574,257.24620134999583,2025-11-16,DF
130.0155809950354,181.20540395994107,252.54971883361603,2025-11-23,DF
129.87865769810452,180.17489147224526,249.9486219860211,2025-11-30,DF
887.5069897046982,1080.4829756536228,1315.4188915917753,2025-11-16,GO
838.4454845778157,1025.72871807117,1254.8453327358568,2025-11-23,GO
802.1489953796747,986.3656088133018,1212.8882786783677,2025-11-30,GO
214.06416811878097,245.8111046756631,282.26629291989656,2025-11-16,MT
232.07481719246226,280.2790089648756,338.4956791808443,2025-11-23,MT
235.61042193447716,298.27560621379814,377.6078177346107,2025-11-30,MT
96.25286441552676,119.59498313879432,148.5977594414453,2025-11-16,MS
111.01827656289126,133.75344196713922,161.14448712345396,2025-11-23,MS
115.01701154610619,146.5650333499758,186.76636361977145,2025-11-30,MS
132.43757545203573,286.59054622768076,620.1724918833668,2025-11-16,RS
131.294224203128,258.7301387488323,509.8570413381152,2025-11-23,RS
118.12309644325462,219.72625375495372,408.7230020454081,2025-11-30,RS
209.38088297055282,415.80909663987177,825.7544929389868,2025-11-16,SC
209.85943497729815,422.8518544471194,852.0164501000882,2025-11-23,SC
200.06367148088887,382.51187578623166,731.3438468586651,2025-11-30,SC
790.4706331049658,1178.52146974087,1757.0707834958216,2025-11-16,PR
874.6724631615217,1254.9102459661674,1800.445071448483,2025-11-23,PR
844.8284054966338,1241.1025108396254,1823.252429002945,2025-11-30,PR
10752.545016510376,13317.116880650308,16493.360570970857,2025-11-16,BR
11248.532116159355,13926.798508921665,17242.757962122974,2025-11-23,BR
11957.758629438358,14808.503263943965,18338.868989910272,2025-11-30,BR
13.536226316312087,18.368821907843323,24.926712245898113,2025-11-16,SE
11.917505456743038,16.330472481599756,22.377529629860106,2025-11-23,SE
11.63758637670733,15.663288521692136,21.08157133035925,2025-11-30,SE
4883.679791378357,6460.475270278965,8546.371281665482,2025-11-16,SP
5219.1481411903,6903.790809972465,9132.204386325428,2025-11-23,SP
5154.867206525493,6746.9961931832995,8830.869119810526,2025-11-30,SP
40.55751402944526,50.939846485616876,63.97995592368674,2025-11-16,TO
42.7703657307468,53.30428470244902,66.43260395590094,2025-11-23,TO
42.49956714560452,53.3263687299356,66.91130740646051,2025-11-30,TO
