pred,lower,upper,date,state
237.26547344089235,182.2070934260798,308.96110479897015,2025-04-13,RO
240.01580803629628,182.78785831824553,315.16091187532635,2025-04-20,RO
363.2552780917206,288.16668981589896,457.9099588012582,2025-04-06,AC
338.72726952399086,272.93312508699285,420.38196383311157,2025-04-13,AC
304.95949959117297,248.1699010222265,374.74446340118163,2025-04-20,AC
854.2347868611818,624.0858734620554,1169.2574725906459,2025-04-06,PA
809.5032662229662,593.0677707021198,1104.925221699133,2025-04-13,PA
734.936241699283,542.6748922986969,995.3128236228955,2025-04-20,PA
293.6519634650755,232.07032258317543,371.5747652998075,2025-04-06,DF
258.01350008618385,210.9405556600745,315.59112005943825,2025-04-13,DF
218.82672290021642,177.31362990779357,270.0589609504316,2025-04-20,DF
4069.688366289086,3205.4244921498976,5166.979736777468,2025-04-06,GO
4451.645135638586,3506.445750890806,5651.632970115159,2025-04-13,GO
4826.4736001175825,3828.784776700026,6084.1360304168,2025-04-20,GO
869.3723415349923,708.6795063380339,1066.502222043262,2025-04-06,MT
863.1558264527883,698.6481400221827,1066.3994335055988,2025-04-13,MT
777.3929551577224,619.5837402954113,975.3964919103807,2025-04-20,MT
428.66375793360305,311.03688869373525,590.7743552138345,2025-04-06,MS
449.0586111229275,327.8522232759643,615.0747864653457,2025-04-13,MS
466.7599634680302,338.5998450501804,643.4287158766695,2025-04-20,MS
4027.2624268944983,2279.6942257703786,7114.481614127577,2025-04-06,RS
6180.65730001004,3453.9246581006987,11060.03414711823,2025-04-13,RS
6534.488516302217,3707.5540932035974,11516.902814165018,2025-04-20,RS
729.965346849093,452.00086893508364,1178.8681045147378,2025-04-06,SC
633.8592941863783,389.8022649905343,1030.721575812829,2025-04-13,SC
608.3463594619254,374.8972880050167,987.1644978814192,2025-04-20,SC
4882.166089556551,3326.029246157716,7166.366848262418,2025-04-06,PR
4609.015188743772,3188.0288887386287,6663.371553849304,2025-04-13,PR
4404.017697173741,3020.1415301067354,6422.007605827017,2025-04-20,PR
70718.87906769139,41197.30277255319,121395.32250938218,2025-04-06,BR
67212.88959696545,35213.10983159915,128292.34763922884,2025-04-13,BR
66940.1997342307,33025.290986991844,135683.5990400112,2025-04-20,BR
19.279966534526178,12.586332921085337,29.533392442665146,2025-04-06,SE
21.19728508360801,14.239885398391985,31.553968472702017,2025-04-13,SE
22.305016889910885,15.15878035214943,32.82017199943564,2025-04-20,SE
37964.7114803203,23673.492753128754,60883.25591894228,2025-04-06,SP
35659.57553899306,23078.65865186036,55098.75364956048,2025-04-13,SP
30483.61858212678,20125.904891873943,46171.886772444224,2025-04-20,SP
66.42580062670842,58.294369775649564,75.69147768267558,2025-04-06,TO
62.978957953678574,55.10282447237817,71.98086818434247,2025-04-13,TO
59.34634270456624,51.2348342912426,68.74206662574927,2025-04-20,TO
